Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Oxford Health Plans (CT), Inc",902601,06/10/2019,06/14/2019,Group Health,Colonoscopy,Unfair Claims Practice,Contract Provision,Claim Settled,Voluntary Reconsider,500.00,Closed
"Anthem Health Plans, Inc",803410,07/24/2018,08/20/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",902648,06/12/2019,06/14/2019,A & H,Prescription,Unfair Claims Practice,Claim Procedure,Claim Settled,No Action Necessary,0.00,Closed
Nationwide General Insurance Company,801260,03/15/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Claim Settled,Unjustified,0.00,Closed
Travelers Home and Marine Insurance Company (The),805306,11/09/2018,01/02/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Additional Money Received,Unjustified,5837.11,Closed
ACE American Insurance Company,803033,06/29/2018,07/26/2018,Worker's Compensation,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Kemper Independence Insurance Company,803071,07/02/2018,08/20/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,0.00,Closed
Prudential Insurance Company of America,803242,07/16/2018,08/06/2018,Group Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Furnished Information,Furnished Information,0.00,Closed
Allstate Insurance Company,805334,11/13/2018,01/02/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",803309,07/19/2018,08/06/2018,A & H,Out-Patient,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,902316,05/21/2019,06/07/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Additional Money Received,Justified,4905.63,Closed
Allstate Fire and Casualty Insurance Company,805909,12/21/2018,01/02/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Liberty Insurance Corporation,801378,03/20/2018,04/02/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",803659,08/06/2018,08/20/2018,Group Health,Emergency,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
ConnectiCare Inc,805403,11/15/2018,01/02/2019,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Allianz Life Insurance Company of North America,800747,02/14/2018,04/02/2018,Individual Annuity,Equity Indexed Annuity,Marketing/Sales,Misleading Advertising,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,805641,12/04/2018,01/02/2019,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Delays,Complaint Withdrawn,Furnished Information,0.00,Closed
Bankers Standard Insurance Company,801023,02/27/2018,04/02/2018,Homeowners,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
Progressive Direct Insurance Company,801350,03/19/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,800358,01/23/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Central Mutual Insurance Company,803351,07/20/2018,08/20/2018,Commercial Auto,,Premium and Rating,Service Fees,Corrective Action,Voluntary Reconsider,0.42,Closed
LM General Insurance Company,902397,05/29/2019,06/14/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Transamerica Life Insurance Company,102856,07/02/2021,07/20/2021,,,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,203.37,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",101474,04/05/2021,05/07/2021,Commercial Auto,,Premium and Rating,Premium/Notice,Corrective Action,Voluntary Reconsider,0.00,Closed
Transamerica Life Insurance Company,102856,07/02/2021,07/20/2021,Group Life,Whole Life,Marketing/Sales,Policy Service Delay,Corrective Action,Justified,203.37,Closed
CSAA General Insurance Company,902396,05/29/2019,06/14/2019,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,805261,11/07/2018,01/02/2019,Group Health,Wisdom Teeth,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
AIG Property Casualty Company,803323,07/19/2018,08/06/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Allianz Life Insurance Company of North America,800747,02/14/2018,04/02/2018,,,Marketing/Sales,Misleading Advertising,Company Position Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,902492,06/03/2019,06/14/2019,,,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",804309,09/11/2018,01/02/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Company Position Upheld,Furnished Information,0.00,Closed
Union Security Insurance Company,801253,03/14/2018,04/02/2018,Group Disability Income,Short Term Group,Underwriting,Cancellation,Furnished Information,Furnished Information,0.00,Closed
GEICO Indemnity Company,801288,03/15/2018,04/02/2018,Auto Physical Damage,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",902445,05/31/2019,06/14/2019,A & H,No SubCov - AH,Unfair Claims Practice,Provider Contract Issue,Claim Settled,Furnished Information,13627.00,Closed
Brighthouse Life Insurance Company,902426,05/30/2019,06/14/2019,Individual Long Term Care,Partnership,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Trumbull Insurance Company,902324,05/22/2019,06/14/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
Aetna Health and Life Insurance Company,801192,03/12/2018,03/20/2018,Group Health,Out-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Travelers Home and Marine Insurance Company (The),805813,12/17/2018,01/02/2019,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Underwriters at Lloyds London,902178,05/13/2019,06/14/2019,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"National Union Fire Insurance Company of Pittsburgh, PA",801257,03/15/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
CSAA Affinity Insurance Company,805905,12/21/2018,01/02/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
GEICO General Insurance Company,801105,03/05/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Actual Cash Value Dispute,Enter Arbitration,Unjustified,0.00,Closed
Progressive Direct Insurance Company,801350,03/19/2018,04/02/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Company Position Upheld,Unjustified,0.00,Closed
"Sentinel Insurance Company, Ltd",902246,05/16/2019,06/07/2019,Homeowners,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
Pruco Life Insurance Company,102130,05/17/2021,06/02/2021,Individual Life,Variable Life,Marketing/Sales,Policy Service Delay,Furnished Information,Unjustified,0.00,Closed
Cigna Health and Life Insurance Company,101466,04/05/2021,05/07/2021,,,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
Pilgrim Insurance Company,800464,01/26/2018,04/02/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,445.87,Closed
"ConnectiCare Benefits, Inc.",902345,05/23/2019,06/14/2019,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,Misrepresentation,Furnished Information,Furnished Information,0.00,Closed
Progressive Casualty Insurance Company,805913,12/21/2018,01/02/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",101528,04/08/2021,05/07/2021,Exchange-Individual Hlth,Radiology,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",103402,08/10/2021,08/16/2021,Group Health,Physical Therapy,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Acadia Insurance Company,705745,12/20/2017,01/18/2018,General Liability,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
Liberty Mutual Personal Insurance Company,102191,05/20/2021,06/02/2021,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Standard Insurance Company,705814,12/27/2017,01/18/2018,,,Unfair Claims Practice,Denial of Claim,Coverage Granted,Voluntary Reconsider,747.00,Closed
Progressive Direct Insurance Company,800020,01/02/2018,01/18/2018,,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,18595.30,Closed
Government Employees Insurance Company,800020,01/02/2018,01/18/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Standard Insurance Company,705814,12/27/2017,01/18/2018,Dental,Dental,Unfair Claims Practice,Denial of Claim,Coverage Granted,Voluntary Reconsider,747.00,Closed
USAA General Indemnity Company,800051,01/05/2018,01/18/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
"Anthem Health Plans, Inc",802630,06/06/2018,08/06/2018,,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
Progressive Casualty Insurance Company,801264,03/15/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
GEICO General Insurance Company,801110,03/05/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Subrogation,Corrective Action,Justified,5426.91,Closed
"ConnectiCare Benefits, Inc.",103465,08/16/2021,,Group Health,Physical Therapy,Unfair Claims Practice,Contract Provision,,,0.00,Open
Generali - U.S. Branch,902046,05/06/2019,05/22/2019,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Permanent General Assurance Corporation,902107,05/09/2019,05/22/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Claim Settled,Justified,0.00,Closed
"ConnectiCare Insurance Company, Inc",902463,05/31/2019,06/14/2019,Individual Health,No SubCov - AH,Marketing/Sales,Failed to Remit Premium,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
Progressive Direct Insurance Company,902162,05/13/2019,06/14/2019,Auto Physical Damage,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,102005,05/10/2021,09/30/2021,Group Health,Prescription,Unfair Claims Practice,CPT Code Issue,Claim Settled,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,803611,08/03/2018,08/21/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Inter-Company Arbitration,Unjustified,0.00,Closed
CSAA Affinity Insurance Company,801439,03/23/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,1171.73,Closed
SAFECO Insurance Company of Illinois,102092,05/14/2021,06/02/2021,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
GEICO General Insurance Company,101160,03/15/2021,04/13/2021,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,11882.51,Closed
UnitedHealthcare Insurance Company,901377,03/22/2019,04/01/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Contract Provision,Claim Paid With Interest,Justified,2080.01,Closed
Universal North America Insurance Company,803326,07/19/2018,08/21/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Covenant Insurance Company,902188,05/14/2019,06/14/2019,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Additional Money Received,Unjustified,16463.21,Closed
Progressive Direct Insurance Company,803622,08/06/2018,08/21/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Nationwide Mutual Fire Insurance Company,803331,07/19/2018,08/06/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,805867,12/19/2018,01/02/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Bankers Life and Casualty Company,902492,06/03/2019,06/14/2019,Individual Long Term Care,Long Term Individual,Unfair Claims Practice,Claim Delays,Furnished Information,Furnished Information,0.00,Closed
Fidelity Security Life Insurance Company,102175,05/19/2021,06/02/2021,Group Life,Whole Life,Premium and Rating,Premium Refund Delay,Contract Provision,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,803512,07/30/2018,08/06/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Corrective Action,Furnished Information,153.00,Closed
Amica Mutual Insurance Company,805295,11/09/2018,11/30/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
GEICO Indemnity Company,805490,11/21/2018,01/02/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,1679.25,Closed
Hartford Insurance Company of the Midwest,801416,03/22/2018,04/03/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",801199,03/12/2018,04/03/2018,Group Health,No SubCov - AH,Utilization Review,Medical Necessity,Insufficient Information,No Action Necessary,0.00,Closed
State Farm Fire & Casualty Company,803610,08/03/2018,08/21/2018,General Liability,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
ConnectiCare Inc,802882,06/22/2018,08/21/2018,Individual Health,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Contract Provision,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",803119,07/06/2018,08/06/2018,Individual Health,Emergency,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"ConnectiCare Insurance Company, Inc",805683,12/06/2018,01/02/2019,Group Health,Mammogram,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Progressive Casualty Insurance Company,801393,03/21/2018,04/03/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
ConnectiCare Inc,805403,11/15/2018,01/02/2019,Group Health,No SubCov - AH,Unfair Claims Practice,Denial of Claim,Furnished Information,Furnished Information,0.00,Closed
LM General Insurance Company,803524,07/31/2018,08/21/2018,Auto Liability,,Unfair Claims Practice,Unsatisfactory Offer,Corrective Action,Justified,0.00,Closed
Old Dominion Insurance Company,801269,03/15/2018,04/03/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Contract Provision,Unjustified,0.00,Closed
Progressive Direct Insurance Company,803622,08/06/2018,08/21/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Main Street America Assurance Company,801179,03/09/2018,04/03/2018,Commercial Multi-Peril,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Allianz Life Insurance Company of North America,800775,02/14/2018,04/03/2018,Individual Annuity,Equity Indexed Annuity,Marketing/Sales,Other [Enter Sub-Reason],Corrective Action,Justified,1673.87,Closed
United Services Automobile Association,801232,03/14/2018,04/03/2018,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Amica Mutual Insurance Company,102587,06/15/2021,07/20/2021,Other [Enter Coverage],,FOI Inquiry,No Subreason,Furnished Information,Furnished Information,0.00,Closed
Underwriters at Lloyds London,902178,05/13/2019,06/14/2019,Commercial Fire,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
Trumbull Insurance Company,805867,12/19/2018,01/02/2019,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
LM General Insurance Company,801311,03/16/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Subrogation,Claim Settled,Unjustified,0.00,Closed
Harleysville Preferred Insurance Company,803729,08/09/2018,08/21/2018,,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
